acetaldehyde|c	ethanol|c	ADH7 ADH4 ADH1A ZADH2 ADH5 ADHFE1 AKR1A1 CYP2E1 ADH1C ADH1B ADH6
L-carnitine|c	docosenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(13Z)-docosenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z)-docosenoyl-CoA|c	docosenoylcarnitine(11)|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z)-docosenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	docosenoylcarnitine(11)|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	docosenoylcarnitine(11)|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
linolenoyl-CoA|c	octadecatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	linolenoyl-CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	octadecatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	octadecatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA|c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	docosahexaenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	docosahexaenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	docosahexaenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z,14Z,17Z)-eicosatrienoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	(11Z,14Z,17Z)-eicosatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z,14Z,17Z)-eicosatrienoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
13,16,19-docosatrienoyl-CoA|c	13,16,19-docosatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
13,16,19-docosatrienoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
13,16,19-docosatrienoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
13,16,19-docosatrienoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16,19-docosatetraenoyl-CoA|c	10,13,16,19-docosatetraenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16,19-docosatetraenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16,19-docosatetraenoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16,19-docosatetraenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	linoleoyl-CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
linoleic-carnitine|c	linoleoyl-CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	linoleic-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	linoleic-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
gamma-linolenoyl-CoA|c	gamma-linolenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	gamma-linolenoyl-CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	gamma-linolenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	gamma-linolenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	eicosatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
dihomo-gamma-linolenoyl-CoA|c	eicosatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	eicosatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	dihomo-gamma-linolenoyl-CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
arachidonyl-CoA|c	arachidonyl-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	arachidonyl-CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	arachidonyl-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	arachidonyl-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA|c	ocosatetraenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	ocosatetraenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	ocosatetraenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA|c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z,14Z)-eicosadienoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(11Z,14Z)-eicosadienoyl-CoA|c	eicosadienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
CoA|c	eicosadienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
L-carnitine|c	eicosadienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(13Z,16Z)-docosadienoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(13Z,16Z)-docosadienoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(13Z,16Z)-docosadienoyl-CoA|c	(13Z,16Z)-docosadienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
(13Z,16Z)-docosadienoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16-docosatrienoyl-CoA|c	10,13,16-docosatrienoylcarnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16-docosatrienoylcarnitine|c	CoA|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16-docosatrienoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
10,13,16-docosatrienoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B SLC22A1 SLC25A29 SLC22A4 CPT1A CPT1C SLC25A20 SLC22A9
12,15,18,21-tetracosatetraenoylcarnitine|c	CoA|c	SLC22A5 CPT1B CPT1A CPT1C
12,15,18,21-tetracosatetraenoyl-CoA|c	12,15,18,21-tetracosatetraenoylcarnitine|c	SLC22A5 CPT1B CPT1A CPT1C
12,15,18,21-tetracosatetraenoylcarnitine|c	L-carnitine|c	SLC22A5 CPT1B CPT1A CPT1C
12,15,18,21-tetracosatetraenoyl-CoA|c	L-carnitine|c	SLC22A5 CPT1B CPT1A CPT1C
L-octanoylcarnitine|c	octanoyl-CoA|c	CPT1B SLC25A29 CPT1A CPT1C SLC25A20
L-carnitine|c	octanoyl-CoA|c	CPT1B SLC25A29 CPT1A CPT1C SLC25A20
CoA|c	L-octanoylcarnitine|c	CPT1B SLC25A29 CPT1A CPT1C SLC25A20
L-carnitine|c	L-octanoylcarnitine|c	CPT1B SLC25A29 CPT1A CPT1C SLC25A20
4(R),8-dimethyl-nonanoyl-CoA|c	4,8-dimethylnonanoylcarnitine|c	
4,8-dimethylnonanoylcarnitine|c	CoA|c	
4,8-dimethylnonanoylcarnitine|c	L-carnitine|c	
4(R),8-dimethyl-nonanoyl-CoA|c	CoA|c	
4(R),8-dimethyl-nonanoyl-CoA|c	L-carnitine|c	
2(S),6-dimethyl-heptanoyl-CoA|c	2,6-dimethylheptanoyl-carnitine|c	
2(S),6-dimethyl-heptanoyl-CoA|c	CoA|c	
2(S),6-dimethyl-heptanoyl-CoA|c	L-carnitine|c	
2,6-dimethylheptanoyl-carnitine|c	CoA|c	
2,6-dimethylheptanoyl-carnitine|c	L-carnitine|c	
L-carnitine|m	O-butanoylcarnitine|m	SLC22A1 ESCO2 ESCO1 ELOVL5 SLC25A29 SLC22A4 SLC33A1 MBOAT2 SLC25A20 LPGAT1 PNPLA3 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3 SLC22A9
L-carnitine|c	O-butanoylcarnitine|m	SLC22A1 ESCO2 ESCO1 ELOVL5 SLC25A29 SLC22A4 SLC33A1 MBOAT2 SLC25A20 LPGAT1 PNPLA3 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3 SLC22A9
O-butanoylcarnitine|c	O-butanoylcarnitine|m	SLC22A1 ESCO2 ESCO1 ELOVL5 SLC25A29 SLC22A4 SLC33A1 MBOAT2 SLC25A20 LPGAT1 PNPLA3 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3 SLC22A9
L-carnitine|c	L-carnitine|m	SLC22A1 ESCO2 ESCO1 ELOVL5 SLC25A29 SLC22A4 SLC33A1 MBOAT2 SLC25A20 LPGAT1 PNPLA3 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3 SLC22A9
L-carnitine|m	O-butanoylcarnitine|c	SLC22A1 ESCO2 ESCO1 ELOVL5 SLC25A29 SLC22A4 SLC33A1 MBOAT2 SLC25A20 LPGAT1 PNPLA3 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3 SLC22A9
CoA|m	O-butanoylcarnitine|m	ESCO2 ACADM ECHS1 CROT ESCO1 ELOVL5 ACSM1 HADHA HADHB SLC33A1 MBOAT2 ACADS LPGAT1 PNPLA3 ACAA2 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 HADH EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3
CoA|m	butyryl-CoA|m	ESCO2 ACADM ECHS1 CROT ESCO1 ELOVL5 ACSM1 HADHA HADHB SLC33A1 MBOAT2 ACADS LPGAT1 PNPLA3 ACAA2 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 HADH EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3
CoA|m	L-carnitine|m	ESCO2 ACADM ECHS1 CROT ESCO1 ELOVL5 ACSM1 HADHA HADHB SLC33A1 MBOAT2 ACADS LPGAT1 PNPLA3 ACAA2 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 HADH EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3
O-butanoylcarnitine|m	butyryl-CoA|m	ESCO2 ACADM ECHS1 CROT ESCO1 ELOVL5 ACSM1 HADHA HADHB SLC33A1 MBOAT2 ACADS LPGAT1 PNPLA3 ACAA2 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 HADH EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3
L-carnitine|m	butyryl-CoA|m	ESCO2 ACADM ECHS1 CROT ESCO1 ELOVL5 ACSM1 HADHA HADHB SLC33A1 MBOAT2 ACADS LPGAT1 PNPLA3 ACAA2 LPCAT3 CRAT MBOAT7 TAFAZZIN ELOVL2 AGPAT4 AGPAT3 HADH EGFR OXSM LPCAT4 CPT2 ELOVL6 HYAL3
L-octanoylcarnitine|c	L-octanoylcarnitine|m	CROT SLC25A20
L-carnitine|m	L-octanoylcarnitine|m	CROT SLC25A20
L-carnitine|c	L-octanoylcarnitine|m	CROT SLC25A20
L-carnitine|m	L-octanoylcarnitine|c	CROT SLC25A20
CoA|m	octanoyl-CoA|m	ACADS HADH ACADM ACAA2 CROT ECHS1 HADHA HADHB
CoA|m	L-octanoylcarnitine|m	ACADS HADH ACADM ACAA2 CROT ECHS1 HADHA HADHB
L-carnitine|m	octanoyl-CoA|m	ACADS HADH ACADM ACAA2 CROT ECHS1 HADHA HADHB
L-octanoylcarnitine|m	octanoyl-CoA|m	ACADS HADH ACADM ACAA2 CROT ECHS1 HADHA HADHB
O-acetylcarnitine|c	O-acetylcarnitine|m	CRAT SLC25A20 CPT2 SLC25A29
L-carnitine|m	O-acetylcarnitine|c	CRAT SLC25A20 CPT2 SLC25A29
L-carnitine|m	O-acetylcarnitine|m	CRAT SLC25A20 CPT2 SLC25A29
L-carnitine|c	O-acetylcarnitine|m	CRAT SLC25A20 CPT2 SLC25A29
CoA|m	O-acetylcarnitine|m	CRAT CPT2
O-acetylcarnitine|m	acetyl-CoA|m	CRAT CPT2
L-carnitine|m	acetyl-CoA|m	CRAT CPT2
O-propanoylcarnitine|c	O-propanoylcarnitine|m	CRAT SLC25A20 CPT2 SLC25A29
L-carnitine|m	O-propanoylcarnitine|c	CRAT SLC25A20 CPT2 SLC25A29
L-carnitine|m	O-propanoylcarnitine|m	CRAT SLC25A20 CPT2 SLC25A29
L-carnitine|c	O-propanoylcarnitine|m	CRAT SLC25A20 CPT2 SLC25A29
CoA|m	O-propanoylcarnitine|m	CRAT CPT2
O-propanoylcarnitine|m	propanoyl-CoA|m	CRAT CPT2
L-carnitine|m	propanoyl-CoA|m	CRAT CPT2
L-carnitine|m	malonyl-carnitin|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|c	malonyl-carnitin|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
malonyl-carnitin|c	malonyl-carnitin|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	malonyl-carnitin|c	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
CoA|m	malonyl-CoA|m	MCAT CRAT CPT2
CoA|m	malonyl-carnitin|m	MCAT CRAT CPT2
malonyl-CoA|m	malonyl-carnitin|m	MCAT CRAT CPT2
L-carnitine|m	malonyl-CoA|m	MCAT CRAT CPT2
L-carnitine|m	dodecanoylcarnitine|c	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	dodecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
dodecanoylcarnitine|c	dodecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|c	dodecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
CoA|m	dodecanoylcarnitine|m	HADH ACAA2 ACADM ECHS1 CRAT HADHA CPT2 HADHB ACADVL
CoA|m	lauroyl-CoA|m	HADH ACAA2 ACADM ECHS1 CRAT HADHA CPT2 HADHB ACADVL
L-carnitine|m	lauroyl-CoA|m	HADH ACAA2 ACADM ECHS1 CRAT HADHA CPT2 HADHB ACADVL
dodecanoylcarnitine|m	lauroyl-CoA|m	HADH ACAA2 ACADM ECHS1 CRAT HADHA CPT2 HADHB ACADVL
L-carnitine|m	tridecanoylcarnitine|c	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
tridecanoylcarnitine|c	tridecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	tridecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|c	tridecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
CoA|m	tridecanoyl-CoA|m	ACAA2 CRAT HADHA CPT2 HADHB ACADVL
CoA|m	tridecanoylcarnitine|m	ACAA2 CRAT HADHA CPT2 HADHB ACADVL
L-carnitine|m	tridecanoyl-CoA|m	ACAA2 CRAT HADHA CPT2 HADHB ACADVL
tridecanoyl-CoA|m	tridecanoylcarnitine|m	ACAA2 CRAT HADHA CPT2 HADHB ACADVL
tetradecanoylcarnitine|c	tetradecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	tetradecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|c	tetradecanoylcarnitine|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	tetradecanoylcarnitine|c	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
CoA|m	myristoyl-CoA|m	ACADS ACAA2 ACADM CRAT HADHA CPT2 HADHB ACADVL
CoA|m	tetradecanoylcarnitine|m	ACADS ACAA2 ACADM CRAT HADHA CPT2 HADHB ACADVL
myristoyl-CoA|m	tetradecanoylcarnitine|m	ACADS ACAA2 ACADM CRAT HADHA CPT2 HADHB ACADVL
L-carnitine|m	myristoyl-CoA|m	ACADS ACAA2 ACADM CRAT HADHA CPT2 HADHB ACADVL
L-carnitine|m	tetradecenoylcarnitine(5)|c	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
tetradecenoylcarnitine(5)|c	tetradecenoylcarnitine(5)|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	tetradecenoylcarnitine(5)|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|c	tetradecenoylcarnitine(5)|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
(9E)-tetradecenoyl-CoA|m	CoA|m	ACADL HADH ACAA1 HSD17B10 ACADM ECHS1 ACAA2 CRAT HADHA CPT2 HADHB ACAD9 ACADVL
(9E)-tetradecenoyl-CoA|m	L-carnitine|m	ACADL HADH ACAA1 HSD17B10 ACADM ECHS1 ACAA2 CRAT HADHA CPT2 HADHB ACAD9 ACADVL
(9E)-tetradecenoyl-CoA|m	tetradecenoylcarnitine(5)|m	ACADL HADH ACAA1 HSD17B10 ACADM ECHS1 ACAA2 CRAT HADHA CPT2 HADHB ACAD9 ACADVL
CoA|m	tetradecenoylcarnitine(5)|m	ACADL HADH ACAA1 HSD17B10 ACADM ECHS1 ACAA2 CRAT HADHA CPT2 HADHB ACAD9 ACADVL
tetradecenoylcarnitine(7)|c	tetradecenoylcarnitine(7)|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	tetradecenoylcarnitine(7)|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|c	tetradecenoylcarnitine(7)|m	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
L-carnitine|m	tetradecenoylcarnitine(7)|c	SLC22A1 SLC25A29 SLC22A4 CRAT CPT2 SLC25A20 SLC22A9
CoA|m	tetradecenoylcarnitine(7)|m	ACAA2 CRAT HADHA CPT2 HADHB
(7Z)-tetradecenoyl-CoA|m	CoA|m	ACAA2 CRAT HADHA CPT2 HADHB
(7Z)-tetradecenoyl-CoA|m	L-carnitine|m	ACAA2 CRAT HADHA CPT2 HADHB
